                      PanelOLS Estimation Summary                      
Dep. Variable:   ,revenue         ,  R-squared:           ,0.0012      
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.0066      
No. Observations:,510000          ,  R-squared (Within):  ,0.0013      
Date:            ,Tue, Jul 30 2019,  R-squared (Overall): ,0.0015      
Time:            ,11:17:06        ,  Log-likelihood       ,-2.325e+06  
Cov. Estimator:  ,Clustered       ,                       ,            
                 ,                ,  F-statistic:         ,61.325      
Entities:        ,17000           ,  P-value              ,0.0000      
Avg Obs:         ,30.000          ,  Distribution:        ,F(10,509960)
Min Obs:         ,30.000          ,                       ,            
Max Obs:         ,30.000          ,  F-statistic (robust):,77.027      
                 ,                ,  P-value              ,0.0000      
Time periods:    ,30              ,  Distribution:        ,F(10,509960)
Avg Obs:         , 1.7e+04        ,                       ,            
Min Obs:         , 1.7e+04        ,                       ,            
Max Obs:         , 1.7e+04        ,                       ,            
                 ,                ,                       ,            
                                     Parameter Estimates                                     
                                        ,Parameter,Std. Err.,T-stat,P-value,Lower CI,Upper CI
Intercept                               ,2.1653   ,0.0679   ,31.871,0.0000 ,2.0321  ,2.2984  
offered_0b1e1539f2cc45b7b9fa7c272da2e1d7,0.7968   ,0.1089   ,7.3140,0.0000 ,0.5833  ,1.0104  
offered_2298d6c36e964ae4a3e7e9706d1fb8c2,2.3385   ,0.1422   ,16.449,0.0000 ,2.0599  ,2.6171  
offered_2906b810c7d4411798c6938adc9daaa5,1.4720   ,0.1336   ,11.021,0.0000 ,1.2102  ,1.7338  
offered_3f207df678b143eea3cee63160fa8bed,0.5338   ,0.0979   ,5.4501,0.0000 ,0.3418  ,0.7257  
offered_4d5c57ea9a6940dd891ad53e9dbe8da0,1.3984   ,0.1323   ,10.574,0.0000 ,1.1392  ,1.6576  
offered_5a8bc65990b245e5a138643cd4eb9837,0.7236   ,0.0957   ,7.5612,0.0000 ,0.5360  ,0.9111  
offered_9b98b8c7a33c4b65b9aebfe6a799e6d9,1.0387   ,0.1148   ,9.0505,0.0000 ,0.8138  ,1.2637  
offered_ae264e3637204a6fb9bb56bc8210ddfd,1.6303   ,0.1352   ,12.058,0.0000 ,1.3653  ,1.8953  
offered_f19421c1d4aa40978ebb69ca19b0e20d,1.7737   ,0.1657   ,10.705,0.0000 ,1.4489  ,2.0984  
offered_fafdcd668e3743c1bb461111dcafc2a4,3.0653   ,0.1532   ,20.006,0.0000 ,2.7650  ,3.3656  

F-test for Poolability: 20.730
P-value: 0.0000
Distribution: F(29,509960)

Included effects: Time
